id,LoaiSims,TacVu,SoSim,Gia,Mang,LoaiGia,NamSinh,Anh
1956,,thuong,0522868689,600000,4,,,/default.png
1955,,thuong,0528680079,600000,4,,,/default.png
1954,,thuong,0528679168,600000,4,,,/default.png
1953,,thuong,0528679186,600000,4,,,/default.png
1952,,thuong,0528679199,600000,4,,,/default.png
1951,,thuong,0528679119,600000,4,,,/default.png
1950,,thuong,0528679079,600000,4,,,/default.png
1949,,thuong,0528678838,600000,4,,,/default.png
1948,,thuong,0528678839,600000,4,,,/default.png
1947,,thuong,0528679139,600000,4,,,/default.png
1946,,thuong,0522194686,600000,4,,,/default.png
1945,,thuong,0522400776,600000,4,,,/default.png
1944,,thuong,0522400787,600000,4,,,/default.png
1943,,thuong,0827959597,500000,3,,,/default.png
1942,,thuong,0886020204,500000,3,,,/default.png
1941,,thuong,0835051197,500000,3,,,/default.png
1940,,thuong,0919190739,500000,3,,,/default.png
1939,,thuong,0919082087,500000,3,,,/default.png
1938,,thuong,0919135729,500000,3,,,/default.png
1937,,thuong,0918886651,500000,3,,,/default.png
1936,,thuong,0918545786,500000,3,,,/default.png
1935,,thuong,0918982486,500000,3,,,/default.png
1934,,thuong,0918809866,500000,3,,,/default.png
1933,,thuong,0917333176,500000,3,,,/default.png
1932,,thuong,0911312696,500000,3,,,/default.png
1931,,thuong,0823912579,500000,3,,,/default.png
1930,,thuong,0815865986,500000,3,,,/default.png
1929,,thuong,0823069688,500000,3,,,/default.png
1928,,thuong,0944555078,500000,3,,,/default.png
1927,,thuong,0833123478,500000,3,,,/default.png
1926,,thuong,0845662016,500000,3,,,/default.png
1925,,thuong,0849774776,500000,3,,,/default.png
1924,,thuong,0848386839,500000,3,,,/default.png
1923,,thuong,0916221276,500000,3,,,/default.png
1922,,thuong,0945161319,500000,3,,,/default.png
1921,,thuong,0913333082,500000,3,,,/default.png
1920,,thuong,0941401410,500000,3,,,/default.png
1919,,thuong,0912122153,500000,3,,,/default.png
1918,,thuong,0918452379,600000,3,,,/default.png
1917,,thuong,0912452879,600000,3,,,/default.png
1916,,thuong,0833737837,600000,3,,,/default.png
1915,,thuong,0917487679,600000,3,,,/default.png
1914,,thuong,0916910279,600000,3,,,/default.png
1913,,thuong,0914376579,600000,3,,,/default.png
1912,,thuong,0917023679,600000,3,,,/default.png
1911,,thuong,0911042179,600000,3,,,/default.png
1910,,thuong,0914748879,600000,3,,,/default.png
1909,,thuong,0941434244,600000,3,,,/default.png
1908,,thuong,0812345453,600000,3,,,/default.png
1907,,thuong,0826732019,600000,3,,,/default.png
1906,,thuong,0914964379,600000,3,,,/default.png
1905,,thuong,0917409679,600000,3,,,/default.png
1904,,thuong,0914360707,600000,3,,,/default.png
1903,,thuong,0858857879,600000,3,,,/default.png
1902,,thuong,0859123478,600000,3,,,/default.png
1901,,thuong,0858244447,600000,3,,,/default.png
1900,,thuong,0858484878,600000,3,,,/default.png
1899,,thuong,0832944447,600000,3,,,/default.png
1898,,thuong,0916881358,600000,3,,,/default.png
1897,,thuong,0822033077,600000,3,,,/default.png
1896,,thuong,0855192019,600000,3,,,/default.png
1895,,thuong,0819515615,600000,3,,,/default.png
1894,,thuong,0816784404,600000,3,,,/default.png
1893,,thuong,0835919193,600000,3,,,/default.png
1892,,thuong,0833959597,600000,3,,,/default.png
1891,,thuong,0915431379,600000,3,,,/default.png
1890,,thuong,0848391239,600000,3,,,/default.png
1889,,thuong,0856002018,600000,3,,,/default.png
1888,,thuong,0825662016,600000,3,,,/default.png
1887,,thuong,0916813639,600000,3,,,/default.png
1886,,thuong,0916469883,600000,3,,,/default.png
1885,,thuong,0916558830,600000,3,,,/default.png
1884,,thuong,0916575651,600000,3,,,/default.png
1883,,thuong,0916593363,600000,3,,,/default.png
1882,,thuong,0916432654,600000,3,,,/default.png
1881,,thuong,0916215415,600000,3,,,/default.png
1880,,thuong,0916209883,600000,3,,,/default.png
1879,,thuong,0916390809,600000,3,,,/default.png
1878,,thuong,0916130915,600000,3,,,/default.png
1877,,thuong,0916142454,600000,3,,,/default.png
1876,,thuong,0916411237,600000,3,,,/default.png
1875,,thuong,0916676589,600000,3,,,/default.png
1874,,thuong,0834133668,600000,3,,,/default.png
1873,,thuong,0823911123,600000,3,,,/default.png
1872,,thuong,0833388821,600000,3,,,/default.png
1871,,thuong,0911086579,600000,3,,,/default.png
1870,,thuong,0837938389,600000,3,,,/default.png
1869,,thuong,0826332018,600000,3,,,/default.png
1868,,thuong,0824708886,600000,3,,,/default.png
1867,,thuong,0817232223,600000,3,,,/default.png
1866,,thuong,0816662224,600000,3,,,/default.png
1865,,thuong,0825131314,600000,3,,,/default.png
1864,,thuong,0836998878,600000,3,,,/default.png
1863,,thuong,0816383836,600000,3,,,/default.png
1862,,thuong,0859111012,600000,3,,,/default.png
1861,,thuong,0916074770,600000,3,,,/default.png
1860,,thuong,0846782012,600000,3,,,/default.png
1859,,thuong,0941707478,600000,3,,,/default.png
1858,,thuong,0915327572,600000,3,,,/default.png
1857,,thuong,0915345593,600000,3,,,/default.png
1856,,thuong,0916127579,600000,3,,,/default.png
1855,,thuong,0915508336,600000,3,,,/default.png
1854,,thuong,0915567404,600000,3,,,/default.png
1853,,thuong,0886533677,600000,3,,,/default.png
1852,,thuong,0848787078,600000,3,,,/default.png
1851,,thuong,0833346663,600000,3,,,/default.png
1850,,thuong,0833318880,600000,3,,,/default.png
1849,,thuong,0948433379,600000,3,,,/default.png
1848,,thuong,0888295925,600000,3,,,/default.png
1847,,thuong,0847292012,600000,3,,,/default.png
1846,,thuong,0833195198,600000,3,,,/default.png
1845,,thuong,0843707078,600000,3,,,/default.png
1844,,thuong,0812383837,600000,3,,,/default.png
1843,,thuong,0824777199,600000,3,,,/default.png
1842,,thuong,0944999377,650000,3,,,/default.png
1841,,thuong,0842004008,700000,3,,,/default.png
1840,,thuong,0911237737,700000,3,,,/default.png
1839,,thuong,0837633368,700000,3,,,/default.png
1838,,thuong,0829777279,700000,3,,,/default.png
1837,,thuong,0858386279,700000,3,,,/default.png
1836,,thuong,0854755799,700000,3,,,/default.png
1835,,thuong,0825858679,700000,3,,,/default.png
1834,,thuong,0853012239,700000,3,,,/default.png
1833,,thuong,0916093938,700000,3,,,/default.png
1832,,thuong,0916116653,700000,3,,,/default.png
1831,,thuong,0912960626,700000,3,,,/default.png
1830,,thuong,0912981535,700000,3,,,/default.png
1829,,thuong,0916095009,700000,3,,,/default.png
1828,,thuong,0842656468,700000,3,,,/default.png
1827,,thuong,0915164179,700000,3,,,/default.png
1826,,thuong,0888023116,700000,3,,,/default.png
1825,,thuong,0888277533,700000,3,,,/default.png
1824,,thuong,0888302636,700000,3,,,/default.png
1823,,thuong,0888304804,700000,3,,,/default.png
1822,,thuong,0888919050,700000,3,,,/default.png
1821,,thuong,0888070363,700000,3,,,/default.png
1820,,thuong,0888016468,700000,3,,,/default.png
1819,,thuong,0888010949,700000,3,,,/default.png
1818,,thuong,0888272826,700000,3,,,/default.png
1817,,thuong,0888266086,700000,3,,,/default.png
1816,,thuong,0888232127,700000,3,,,/default.png
1815,,thuong,0888261739,700000,3,,,/default.png
1814,,thuong,0888216269,700000,3,,,/default.png
1813,,thuong,0888261768,700000,3,,,/default.png
1812,,thuong,0888233589,700000,3,,,/default.png
1811,,thuong,0888301683,700000,3,,,/default.png
1810,,thuong,0888303439,700000,3,,,/default.png
1809,,thuong,0888201231,700000,3,,,/default.png
1808,,thuong,0888281125,700000,3,,,/default.png
1807,,thuong,0888213253,700000,3,,,/default.png
1806,,thuong,0888305119,700000,3,,,/default.png
1805,,thuong,0888036306,700000,3,,,/default.png
1804,,thuong,0828018234,700000,3,,,/default.png
1803,,thuong,0848949498,700000,3,,,/default.png
1802,,thuong,0941973975,700000,3,,,/default.png
1801,,thuong,0858818158,700000,3,,,/default.png
1800,,thuong,0857776786,700000,3,,,/default.png
1799,,thuong,0839646664,700000,3,,,/default.png
1798,,thuong,0853787877,700000,3,,,/default.png
1797,,thuong,0817176177,700000,3,,,/default.png
1796,,thuong,0913030996,700000,3,,,/default.png
1795,,thuong,0916141611,700000,3,,,/default.png
1794,,thuong,0856012377,700000,3,,,/default.png
1793,,thuong,0916571279,700000,3,,,/default.png
1792,,thuong,0886115986,700000,3,,,/default.png
1791,,thuong,0886087287,700000,3,,,/default.png
1790,,thuong,0886164123,700000,3,,,/default.png
1789,,thuong,0886089188,700000,3,,,/default.png
1788,,thuong,0886030223,700000,3,,,/default.png
1787,,thuong,0886122129,700000,3,,,/default.png
1786,,thuong,0812323479,700000,3,,,/default.png
1785,,thuong,0816456778,700000,3,,,/default.png
1784,,thuong,0822395679,700000,3,,,/default.png
1783,,thuong,0886066880,800000,3,,,/default.png
1782,,thuong,0886770771,800000,3,,,/default.png
1781,,thuong,0886273282,800000,3,,,/default.png
1780,,thuong,0886280212,800000,3,,,/default.png
1779,,thuong,0886280382,800000,3,,,/default.png
1778,,thuong,0886552488,800000,3,,,/default.png
1777,,thuong,0916788661,800000,3,,,/default.png
1776,,thuong,0914519078,800000,3,,,/default.png
1775,,thuong,0916999813,800000,3,,,/default.png
1774,,thuong,0917177784,800000,3,,,/default.png
1773,,thuong,0823456714,800000,3,,,/default.png
1772,,thuong,0823456754,800000,3,,,/default.png
1771,,thuong,0915812391,800000,3,,,/default.png
1770,,thuong,0915497886,800000,3,,,/default.png
1769,,thuong,0855061239,800000,3,,,/default.png
1768,,thuong,0856288939,800000,3,,,/default.png
1767,,thuong,0944555078,800000,3,,,/default.png
1766,,thuong,0912330102,800000,3,,,/default.png
1765,,thuong,0913575163,800000,3,,,/default.png
1764,,thuong,0913574982,800000,3,,,/default.png
1763,,thuong,0913571460,800000,3,,,/default.png
1762,,thuong,0913539221,800000,3,,,/default.png
1761,,thuong,0913471299,800000,3,,,/default.png
1760,,thuong,0913450285,800000,3,,,/default.png
1759,,thuong,0913459907,800000,3,,,/default.png
1758,,thuong,0913459117,800000,3,,,/default.png
1757,,thuong,0913459730,800000,3,,,/default.png
1756,,thuong,0913458059,800000,3,,,/default.png
1755,,thuong,0913452825,800000,3,,,/default.png
1754,,thuong,0913461262,800000,3,,,/default.png
1753,,thuong,0913480393,800000,3,,,/default.png
1752,,thuong,0913394877,800000,3,,,/default.png
1751,,thuong,0913515711,800000,3,,,/default.png
1750,,thuong,0913518525,800000,3,,,/default.png
1749,,thuong,0913512372,800000,3,,,/default.png
1748,,thuong,0913400092,800000,3,,,/default.png
1747,,thuong,0913380272,800000,3,,,/default.png
1746,,thuong,0913428252,800000,3,,,/default.png
1745,,thuong,0913651577,800000,3,,,/default.png
1744,,thuong,0913579372,800000,3,,,/default.png
1743,,thuong,0913490997,800000,3,,,/default.png
1742,,thuong,0913436335,800000,3,,,/default.png
1741,,thuong,0913481479,800000,3,,,/default.png
1740,,thuong,0913653090,800000,3,,,/default.png
1739,,thuong,0913572938,800000,3,,,/default.png
1738,,thuong,0913572331,800000,3,,,/default.png
1737,,thuong,0913554008,800000,3,,,/default.png
1736,,thuong,0913870131,800000,3,,,/default.png
1735,,thuong,0913549876,800000,3,,,/default.png
1734,,thuong,0913524585,800000,3,,,/default.png
1733,,thuong,0914437639,800000,3,,,/default.png
1732,,thuong,0914454661,800000,3,,,/default.png
1731,,thuong,0912717798,800000,3,,,/default.png
1730,,thuong,0914445085,800000,3,,,/default.png
1729,,thuong,0912733390,800000,3,,,/default.png
1728,,thuong,0912744112,800000,3,,,/default.png
1727,,thuong,0914443285,800000,3,,,/default.png
1726,,thuong,0912676030,800000,3,,,/default.png
1725,,thuong,0912711004,800000,3,,,/default.png
1724,,thuong,0914456876,800000,3,,,/default.png
1723,,thuong,0912301336,800000,3,,,/default.png
1722,,thuong,0914120242,800000,3,,,/default.png
1721,,thuong,0914080131,800000,3,,,/default.png
1720,,thuong,0914070448,800000,3,,,/default.png
1719,,thuong,0912660680,800000,3,,,/default.png
1718,,thuong,0913733172,800000,3,,,/default.png
1717,,thuong,0913879212,800000,3,,,/default.png
1716,,thuong,0913888561,800000,3,,,/default.png
1715,,thuong,0913887192,800000,3,,,/default.png
1714,,thuong,0913909844,800000,3,,,/default.png
1713,,thuong,0913939782,800000,3,,,/default.png
1712,,thuong,0913934734,800000,3,,,/default.png
1711,,thuong,0913687973,800000,3,,,/default.png
1710,,thuong,0913657080,800000,3,,,/default.png
1709,,thuong,0913717445,800000,3,,,/default.png
1708,,thuong,0913957996,800000,3,,,/default.png
1707,,thuong,0912577114,800000,3,,,/default.png
1706,,thuong,0912570127,800000,3,,,/default.png
1705,,thuong,0912442223,800000,3,,,/default.png
1704,,thuong,0914273393,800000,3,,,/default.png
1703,,thuong,0911985981,800000,3,,,/default.png
1702,,thuong,0911982981,800000,3,,,/default.png
1701,,thuong,0911980798,800000,3,,,/default.png
1700,,thuong,0911971497,800000,3,,,/default.png
1699,,thuong,0914301269,800000,3,,,/default.png
1698,,thuong,0911933459,800000,3,,,/default.png
1697,,thuong,0912224110,800000,3,,,/default.png
1696,,thuong,0912227133,800000,3,,,/default.png
1695,,thuong,0912122276,800000,3,,,/default.png
1694,,thuong,0913765492,800000,3,,,/default.png
1693,,thuong,0914330069,800000,3,,,/default.png
1692,,thuong,0914343531,800000,3,,,/default.png
1691,,thuong,0914357902,800000,3,,,/default.png
1690,,thuong,0914330539,800000,3,,,/default.png
1689,,thuong,0914414645,800000,3,,,/default.png
1688,,thuong,0912163116,800000,3,,,/default.png
1687,,thuong,0912098993,800000,3,,,/default.png
1686,,thuong,0912181464,800000,3,,,/default.png
1685,,thuong,0845858679,800000,3,,,/default.png
1684,,thuong,0815869586,800000,3,,,/default.png
1683,,thuong,0849749668,800000,3,,,/default.png
1682,,thuong,0844280868,800000,3,,,/default.png
1681,,thuong,0842277668,800000,3,,,/default.png
1680,,thuong,0823069688,800000,3,,,/default.png
1679,,thuong,0823912579,800000,3,,,/default.png
1678,,thuong,0845209979,800000,3,,,/default.png
1677,,thuong,0843341668,800000,3,,,/default.png
1676,,thuong,0845682168,800000,3,,,/default.png
1675,,thuong,0842142686,800000,3,,,/default.png
1674,,thuong,0911999847,800000,3,,,/default.png
1673,,thuong,0889415558,800000,3,,,/default.png
1672,,thuong,0812342347,800000,3,,,/default.png
1671,,thuong,0915703753,800000,3,,,/default.png
1670,,thuong,0915664660,800000,3,,,/default.png
1669,,thuong,0917949299,900000,3,,,/default.png
1668,,thuong,0941678478,950000,3,,,/default.png
1667,,thuong,0845091985,1100000,3,,,/default.png
1666,,thuong,0886662210,1200000,3,,,/default.png
1665,,thuong,0945211244,1200000,3,,,/default.png
1664,,thuong,0913122443,1200000,3,,,/default.png
1663,,thuong,0913138280,1200000,3,,,/default.png
1662,,thuong,0912763978,1200000,3,,,/default.png
1661,,thuong,0912677353,1200000,3,,,/default.png
1660,,thuong,0912784349,1200000,3,,,/default.png
1659,,thuong,0913015377,1200000,3,,,/default.png
1658,,thuong,0911270474,1200000,3,,,/default.png
1657,,thuong,0911177464,1200000,3,,,/default.png
1656,,thuong,0911408373,1200000,3,,,/default.png
1655,,thuong,0943777178,1200000,3,,,/default.png
1654,,thuong,0944129996,1200000,3,,,/default.png
1653,,thuong,0888645745,1200000,3,,,/default.png
1652,,thuong,0945340879,1200000,3,,,/default.png
1651,,thuong,0911784579,1200000,3,,,/default.png
1650,,thuong,0946083768,1200000,3,,,/default.png
1649,,thuong,0947672479,1200000,3,,,/default.png
1648,,thuong,0944691079,1200000,3,,,/default.png
1647,,thuong,0946560479,1200000,3,,,/default.png
1646,,thuong,0852872008,1200000,3,,,/default.png
1645,,thuong,0847268345,1200000,3,,,/default.png
1644,,thuong,0849168345,1200000,3,,,/default.png
1643,,thuong,0832279568,1200000,3,,,/default.png
1642,,thuong,0813386456,1200000,3,,,/default.png
1641,,thuong,0858286456,1200000,3,,,/default.png
1640,,thuong,0857868345,1200000,3,,,/default.png
1639,,thuong,0812168345,1200000,3,,,/default.png
1638,,thuong,0846668345,1200000,3,,,/default.png
1637,,thuong,0819368456,1200000,3,,,/default.png
1636,,thuong,0849126456,1200000,3,,,/default.png
1635,,thuong,0819868345,1200000,3,,,/default.png
1634,,thuong,0849186456,1200000,3,,,/default.png
1633,,thuong,0849268456,1200000,3,,,/default.png
1632,,thuong,0814268456,1200000,3,,,/default.png
1631,,thuong,0886323424,1200000,3,,,/default.png
1630,,thuong,0945690101,1200000,3,,,/default.png
1629,,thuong,0842997989,1200000,3,,,/default.png
1628,,thuong,0844119191,1200000,3,,,/default.png
1627,,thuong,0814386456,1200000,3,,,/default.png
1626,,thuong,0947008379,1200000,3,,,/default.png
1625,,thuong,0917867771,1200000,3,,,/default.png
1624,,thuong,0948033679,1200000,3,,,/default.png
1623,,thuong,0886592456,1200000,3,,,/default.png
1622,,thuong,0886327456,1200000,3,,,/default.png
1621,,thuong,0886524345,1200000,3,,,/default.png
1620,,thuong,0886387345,1200000,3,,,/default.png
1619,,thuong,0886447345,1200000,3,,,/default.png
1618,,thuong,0947345586,1200000,3,,,/default.png
1617,,thuong,0946314279,1200000,3,,,/default.png
1616,,thuong,0945058479,1200000,3,,,/default.png
1615,,thuong,0941011579,1200000,3,,,/default.png
1614,,thuong,0943316579,1200000,3,,,/default.png
1613,,thuong,0945584279,1200000,3,,,/default.png
1612,,thuong,0944961179,1200000,3,,,/default.png
1611,,thuong,0948967579,1200000,3,,,/default.png
1610,,thuong,0947463679,1200000,3,,,/default.png
1609,,thuong,0941813179,1200000,3,,,/default.png
1608,,thuong,0942518179,1200000,3,,,/default.png
1607,,thuong,0949625379,1200000,3,,,/default.png
1606,,thuong,0944584579,1200000,3,,,/default.png
1605,,thuong,0941824679,1200000,3,,,/default.png
1604,,thuong,0949572079,1200000,3,,,/default.png
1603,,thuong,0944359179,1200000,3,,,/default.png
1602,,thuong,0942473279,1200000,3,,,/default.png
1601,,thuong,0944610679,1200000,3,,,/default.png
1600,,thuong,0941107379,1200000,3,,,/default.png
1599,,thuong,0945678157,1200000,3,,,/default.png
1598,,thuong,0941755879,1200000,3,,,/default.png
1597,,thuong,0941729879,1200000,3,,,/default.png
1596,,thuong,0947712879,1200000,3,,,/default.png
1595,,thuong,0946924179,1200000,3,,,/default.png
1594,,thuong,0948526068,1200000,3,,,/default.png
1593,,thuong,0949160068,1200000,3,,,/default.png
1592,,thuong,0945614068,1200000,3,,,/default.png
1591,,thuong,0949477168,1200000,3,,,/default.png
1590,,thuong,0947884768,1200000,3,,,/default.png
1589,,thuong,0941341768,1200000,3,,,/default.png
1588,,thuong,0943075968,1200000,3,,,/default.png
1587,,thuong,0948440368,1200000,3,,,/default.png
1586,,thuong,0947657168,1200000,3,,,/default.png
1585,,thuong,0944691068,1200000,3,,,/default.png
1584,,thuong,0947064968,1200000,3,,,/default.png
1583,,thuong,0941580886,1200000,3,,,/default.png
1582,,thuong,0945350468,1200000,3,,,/default.png
1581,,thuong,0947389268,1200000,3,,,/default.png
1580,,thuong,0948106279,1200000,3,,,/default.png
1579,,thuong,0949135986,1200000,3,,,/default.png
1578,,thuong,0942518968,1200000,3,,,/default.png
1577,,thuong,0948873779,1200000,3,,,/default.png
1576,,thuong,0916789376,1200000,3,,,/default.png
1575,,thuong,0913777276,1200000,3,,,/default.png
1574,,thuong,0828222088,1200000,3,,,/default.png
1573,,thuong,0912888770,1200000,3,,,/default.png
1572,,thuong,0919458879,1200000,3,,,/default.png
1571,,thuong,0917999519,1200000,3,,,/default.png
1570,,thuong,0911100048,1200000,3,,,/default.png
1569,,thuong,0917777816,1200000,3,,,/default.png
1568,,thuong,0852012369,1200000,3,,,/default.png
1567,,thuong,0919256079,1200000,3,,,/default.png
1566,,thuong,0917844379,1200000,3,,,/default.png
1565,,thuong,0916451879,1200000,3,,,/default.png
1564,,thuong,0911498179,1200000,3,,,/default.png
1563,,thuong,0911499079,1200000,3,,,/default.png
1562,,thuong,0911401879,1200000,3,,,/default.png
1561,,thuong,0848828567,1200000,3,,,/default.png
1560,,thuong,0945667861,1200000,3,,,/default.png
1559,,thuong,0945677012,1200000,3,,,/default.png
1558,,thuong,0949382786,1200000,3,,,/default.png
1557,,thuong,0949052995,1200000,3,,,/default.png
1556,,thuong,0949005131,1200000,3,,,/default.png
1555,,thuong,0886197889,1200000,3,,,/default.png
1554,,thuong,0886208078,1200000,3,,,/default.png
1553,,thuong,0886203767,1200000,3,,,/default.png
1552,,thuong,0886212404,1200000,3,,,/default.png
1551,,thuong,0886699554,1200000,3,,,/default.png
1550,,thuong,0886196883,1200000,3,,,/default.png
1549,,thuong,0886193468,1200000,3,,,/default.png
1548,,thuong,0886060398,1200000,3,,,/default.png
1547,,thuong,0886072027,1200000,3,,,/default.png
1546,,thuong,0917288910,1200000,3,,,/default.png
1545,,thuong,0886074439,1200000,3,,,/default.png
1544,,thuong,0886250345,1200000,3,,,/default.png
1543,,thuong,0886194168,1200000,3,,,/default.png
1542,,thuong,0886249139,1200000,3,,,/default.png
1541,,thuong,0886249239,1200000,3,,,/default.png
1540,,thuong,0886238248,1200000,3,,,/default.png
1539,,thuong,0911445700,1200000,3,,,/default.png
1538,,thuong,0911335523,1200000,3,,,/default.png
1537,,thuong,0911164311,1200000,3,,,/default.png
1536,,thuong,0911445922,1200000,3,,,/default.png
1535,,thuong,0911312696,1200000,3,,,/default.png
1534,,thuong,0911239121,1200000,3,,,/default.png
1533,,thuong,0911222463,1200000,3,,,/default.png
1532,,thuong,0911317315,1200000,3,,,/default.png
1531,,thuong,0911252660,1200000,3,,,/default.png
1530,,thuong,0911365090,1200000,3,,,/default.png
1529,,thuong,0949409747,1200000,3,,,/default.png
1528,,thuong,0948111417,1200000,3,,,/default.png
1527,,thuong,0948762357,1200000,3,,,/default.png
1526,,thuong,0912496339,1200000,3,,,/default.png
1525,,thuong,0889939178,1200000,3,,,/default.png
1524,,thuong,0886050779,1200000,3,,,/default.png
1523,,thuong,0913317479,1200000,3,,,/default.png
1522,,thuong,0914283279,1200000,3,,,/default.png
1521,,thuong,0915681591,1500000,3,,,/default.png
1520,,thuong,0915658252,1500000,3,,,/default.png
1519,,thuong,0915979712,1500000,3,,,/default.png
1518,,thuong,0917851575,1500000,3,,,/default.png
1517,,thuong,0917868624,1500000,3,,,/default.png
1516,,thuong,0917891592,1500000,3,,,/default.png
1515,,thuong,0917920003,1500000,3,,,/default.png
1514,,thuong,0918009024,1500000,3,,,/default.png
1513,,thuong,0917997984,1500000,3,,,/default.png
1512,,thuong,0947162399,1500000,3,,,/default.png
1511,,thuong,0949686295,1500000,3,,,/default.png
1510,,thuong,0949955182,1500000,3,,,/default.png
1509,,thuong,0948848872,1500000,3,,,/default.png
1508,,thuong,0946686079,1500000,3,,,/default.png
1507,,thuong,0941523379,1500000,3,,,/default.png
1506,,thuong,0947088179,1500000,3,,,/default.png
1505,,thuong,0942246968,1500000,3,,,/default.png
1504,,thuong,0886108879,2500000,3,,,/default.png
1503,,thuong,0886340345,2500000,3,,,/default.png
1502,,thuong,0822340789,2500000,3,,,/default.png
1501,,thuong,0812945345,2500000,3,,,/default.png
1500,,thuong,0859041985,2500000,3,,,/default.png
1499,,thuong,0942874179,2500000,3,,,/default.png
1498,,thuong,0827779568,2500000,3,,,/default.png
1497,,thuong,0849725555,3500000,3,,,/default.png
1496,,thuong,0818298789,4000000,3,,,/default.png
1495,,thuong,0845883338,4000000,3,,,/default.png
1494,,thuong,0845550077,4000000,3,,,/default.png
1493,,thuong,0847887789,4000000,3,,,/default.png
1492,,thuong,0846899789,4000000,3,,,/default.png
1491,,thuong,0848000080,5000000,3,,,/default.png
1490,,thuong,0949441368,500000,3,,,/default.png
1489,,thuong,0941053939,500000,3,,,/default.png
1488,,thuong,0889877877,500000,3,,,/default.png
1487,,thuong,0889679898,500000,3,,,/default.png
1486,,thuong,0916053565,500000,3,,,/default.png
1485,,thuong,0918072049,500000,3,,,/default.png
1484,,thuong,0911511817,500000,3,,,/default.png
1483,,thuong,0913137794,500000,3,,,/default.png
1482,,thuong,0915744996,500000,3,,,/default.png
1481,,thuong,0914838331,500000,3,,,/default.png
1480,,thuong,0912441882,500000,3,,,/default.png
1479,,thuong,0917211767,500000,3,,,/default.png
1478,,thuong,0914473334,500000,3,,,/default.png
1477,,thuong,0911558890,500000,3,,,/default.png
1476,,thuong,0911447732,500000,3,,,/default.png
1475,,thuong,0919853478,500000,3,,,/default.png
